company,productname,type,package,volumeml,country,boycott,certificate,barcode
"홈플러스(주), (주)일화초정공장",Homeplus Signature 콜라,탄산음료,캔,350*6,대한민국,NOT,,8801223010300
"홈플러스(주), (주)일화초정공장",Homeplus Signature 제로 콜라,탄산음료,캔,350*6,대한민국,NOT,,8801223011383
"홈플러스(주), (주)일화초정공장",Homeplus Signature 사이다,탄산음료,패트,1500,대한민국,NOT,,8801223010287
홈플러스(주),Homeplus Signature 무라벨 스파클링 워터 플레인,탄산음료,패트,500*20,대한민국,NOT,,18809713912797
홈플러스(주),Homeplus Signature 무라벨 스파클링 워터 라임,탄산음료,패트,500*20,대한민국,NOT,,18809713912780
홈플러스(주),Homeplus Signature 무라벨 스파클링 워터 샤인머스캣,탄산음료,패트,500*20,대한민국,NOT,,18809713914203
(주)일화초정공장,일화 맥콜 제로,탄산음료,패트,1250,대한민국,NOT,,8801223007935
(주)일화초정공장,일화 맥콜 제로,탄산음료,패트,1500,대한민국,NOT,,8801223012762
(주)일화초정공장,일화 맥콜 제로,탄산음료,캔,250,대한민국,NOT,,8801223100254
(주)일화초정공장,천연사이다,탄산음료,캔,350,대한민국,NOT,,8801223007478
(주)일화초정공장,천연사이다,탄산음료,패트,1500,대한민국,NOT,,8801223104306
(주)일화초정공장,천연사이다 제로,탄산음료,패트,1500,대한민국,NOT,,8801223013004
(주)일화초정공장,초정탄산수,탄산음료,패트,500,대한민국,NOT,,8801223100179
(주)일화초정공장,초정탄산수,탄산음료,패트,1500,대한민국,NOT,,8801223100223
(주)일화초정공장,초정탄산수라임,탄산음료,패트,500,대한민국,NOT,,8801223002176
(주)동아오츠카,나랑드사이다 제로,탄산음료,캔,250,대한민국,NOT,,8801097136519
(주)동아오츠카,나랑드사이다 제로,탄산음료,패트,500,대한민국,NOT,,8801097235632
BUNDABERG BREWED DRINKS PTY LTD,분다버그 핑크 그레이프프루트,탄산음료,유리,375,대한민국,NOT,,9311493003081
BUNDABERG BREWED DRINKS PTY LTD,분다버그 레몬 라임 앤 비터스,탄산음료,유리,375,대한민국,NOT,,9311493003043
"한국코카콜라(유), 코카-콜라음료(주)",암바사,탄산음료,캔,355,대한민국,회사,,8801094253103
NESTLE WATERS SUPPLY SUD,페리에 레몬,탄산음료,유리,330,프랑스,"회사, 나라",,7613033131585
